Date,Round,HomeTeam,AwayTeam,Possession_Home,Possession_Away,Home_duels_success_rate,Away_duels_success_rate,Home_aerials_success_rate,Away_aerials_success_rate,Home_interceptions,Away_interceptions,Home_offsides,Away_offsides,Home_corners,Away_corners,Home_passes,Away_passes,Home_long_passes,Away_long_passes,Home_passing_acc,Away_passing_acc,Home_passing_acc_opp_half,Away_passing_acc_opp_half,Home_crosses,Away_crosses,Home_crossing_acc,Away_crossing_acc,HomeGoals,AwayGoals,HomeShots,AwayShots,HomeSOT,AwaySOT,Home_blocked_shots,Away_blocked_shots,Home_Shots_OB,Away_Shots_OB,Home_Shots_IB,Away_shots_IB,Home_shooting_acc,Away_shooting_acc,HomeTackles,AwayTackles,Home_Tackle_success_rate,Away_Tackle_success_rate,HomeClearances,AwayClearances,HomeFouls,AwayFouls,HomeYellows,AwayYellows,HomeReds,AwayReds,Referee,Time
21/08/2020,1,Bordeaux,Nantes,0.44,0.56,0.57,0.43,0.56,0.44,9,10,0,3,2,3,482,618,77,35,0.83,0.89,0.68,0.82,9,19,0.22,0.05,0,0,5,6,1,1,0,2,4,6,1,0,0.2,0.17,14,13,0.57,0.31,28,15,10,15,2,3,1,0,Benoît Bastien, 19:00
22/08/2020,1,Dijon Fco,Angers,0.54,0.46,0.56,0.44,0.75,0.25,5,10,2,1,3,9,530,438,41,56,0.89,0.87,0.76,0.73,10,26,0,0.27,0,1,9,12,1,4,3,3,4,3,5,9,0.11,0.33,13,11,0.54,0.73,21,25,15,8,0,0,0,0,Eric Wattellier, 17:00
22/08/2020,1,Lille,Rennes,0.51,0.49,0.47,0.53,0.47,0.53,9,11,0,0,4,2,501,480,55,49,0.84,0.85,0.71,0.71,13,14,0.08,0.29,1,1,5,16,1,2,0,5,4,7,1,9,0.2,0.12,16,13,0.56,0.69,9,14,12,16,0,1,1,1,Clément Turpin, 21:00
23/08/2020,1,Lorient,Strasbourg,0.5,0.5,0.4,0.6,0.24,0.76,15,9,1,2,6,1,400,419,49,60,0.82,0.79,0.64,0.67,23,7,0.22,0,3,1,10,7,7,1,1,3,1,6,9,1,0.7,0.14,18,20,0.72,0.6,9,14,17,10,3,2,0,0,Johan Hamel, 15:00
17/09/2020,1,Marseille,Asse,0.6,0.4,0.49,0.51,0.4,0.6,14,15,3,4,7,6,519,344,52,61,0.82,0.78,0.75,0.55,20,18,0.25,0.28,0,2,13,12,2,5,3,5,3,4,10,8,0.15,0.42,16,20,0.69,0.65,17,22,13,15,2,2,0,0,Ruddy Buquet, 21:00
23/08/2020,1,Monaco,Reims,0.76,0.24,0.52,0.48,0.62,0.38,11,11,0,0,8,1,735,235,48,59,0.9,0.69,0.82,0.56,36,6,0.36,0.5,2,2,22,9,5,3,5,2,6,2,16,7,0.23,0.33,23,24,0.74,0.54,4,23,8,14,1,3,0,0,François Letexier, 13:00
15/09/2020,1,Montpellier,Lyon,0.44,0.56,0.4,0.6,0.52,0.48,9,7,2,0,4,11,391,488,55,50,0.81,0.85,0.68,0.77,16,26,0.38,0.31,2,1,10,19,3,7,3,6,3,7,7,12,0.3,0.37,12,17,0.5,0.53,17,12,13,13,3,2,1,1,François Letexier, 21:00
23/08/2020,1,Nice,Lens,0.58,0.42,0.49,0.51,0.42,0.58,11,18,0,1,1,7,515,353,50,60,0.86,0.83,0.72,0.66,5,29,0,0.38,2,1,4,16,2,4,2,3,2,4,2,12,0.5,0.25,12,6,0.42,0.33,17,6,17,18,2,3,0,0,Jérôme Miguelgorry, 17:00
23/08/2020,1,Nîmes,Brest,0.45,0.55,0.47,0.53,0.44,0.56,14,8,0,3,4,4,333,418,77,73,0.74,0.77,0.61,0.6,13,16,0.54,0.25,4,0,12,10,5,3,2,2,2,4,10,6,0.42,0.3,18,18,0.5,0.61,16,10,14,17,2,3,0,1,Jérémie Pignard, 15:00
16/09/2020,1,Psg,Fc Metz,0.72,0.28,0.43,0.57,0.47,0.53,9,13,1,3,8,2,638,254,47,64,0.87,0.68,0.77,0.56,31,9,0.23,0.22,1,0,20,7,8,1,2,3,8,3,12,4,0.4,0.14,12,16,0.67,0.38,9,29,8,6,1,2,1,0,Mikael Lesage, 21:00
30/08/2020,2,Angers,Bordeaux,0.57,0.43,0.53,0.47,0.52,0.48,16,22,1,1,5,7,538,410,44,52,0.86,0.81,0.75,0.72,26,18,0.15,0.17,0,2,12,7,2,7,6,0,6,0,6,7,0.17,1,20,30,0.8,0.63,15,25,12,19,1,3,0,0,Karim Abed, 15:00
30/08/2020,2,Brest,Marseille,0.59,0.41,0.52,0.48,0.48,0.52,9,15,3,2,10,2,490,355,61,65,0.81,0.73,0.72,0.61,37,9,0.35,0.44,2,3,19,7,4,4,2,1,3,1,16,6,0.21,0.57,21,12,0.71,0.67,9,27,17,13,2,4,0,0,Amaury Delerue, 21:00
10/09/2020,2,Lens,Psg,0.22,0.78,0.49,0.51,0.68,0.32,23,5,3,3,4,2,236,896,49,30,0.7,0.91,0.53,0.86,16,13,0.19,0,1,0,7,8,3,1,1,2,1,6,6,2,0.43,0.12,24,17,0.58,0.82,21,11,21,10,2,2,0,0,Hakim Ben El Hadj, 21:00
28/08/2020,2,Lyon,Dijon Fco,0.64,0.36,0.54,0.46,0.8,0.2,13,18,0,4,13,2,538,311,45,60,0.9,0.76,0.78,0.56,45,9,0.11,0,4,1,27,6,12,2,5,3,5,4,22,2,0.44,0.33,13,23,0.54,0.7,3,33,12,7,3,3,0,0,Benoît Millot, 21:00
30/08/2020,2,Fc Metz,Monaco,0.55,0.45,0.51,0.49,0.46,0.54,11,11,0,4,10,1,471,404,70,58,0.8,0.75,0.65,0.55,27,7,0.26,0,0,1,14,3,4,2,2,0,7,1,7,2,0.29,0.67,21,26,0.52,0.5,10,25,14,20,0,3,0,1,Jérémy Stinat, 15:00
30/08/2020,2,Nantes,Nîmes,0.34,0.66,0.53,0.47,0.6,0.4,13,10,2,1,4,8,275,532,66,69,0.63,0.81,0.48,0.66,11,32,0.27,0.25,2,1,8,18,4,9,1,4,1,4,7,14,0.5,0.5,26,11,0.73,0.64,30,9,17,9,1,2,2,0,Hakim Ben El Hadj, 15:00
30/08/2020,2,Reims,Lille,0.5,0.5,0.44,0.56,0.33,0.67,17,8,2,2,1,2,535,532,62,61,0.84,0.82,0.68,0.7,14,9,0.14,0.44,0,1,4,10,0,3,0,1,3,6,1,4,0,0.3,22,18,0.68,0.5,4,11,20,11,4,1,0,0,Stéphanie Frappart, 13:00
29/08/2020,2,Rennes,Montpellier,0.67,0.33,0.52,0.48,0.5,0.5,8,13,1,1,2,1,611,293,54,69,0.86,0.72,0.78,0.6,8,12,0.38,0.5,2,1,16,10,7,3,1,1,9,4,7,6,0.44,0.3,21,17,0.71,0.71,12,12,18,16,3,2,1,1,Willy Delajod, 17:00
30/08/2020,2,Asse,Lorient,0.52,0.48,0.57,0.43,0.3,0.7,10,12,0,1,2,5,431,378,65,41,0.83,0.78,0.65,0.65,10,21,0.4,0.19,2,0,13,6,5,1,4,3,3,2,10,4,0.38,0.17,29,19,0.52,0.68,15,11,14,23,2,1,0,0,Florent Batta, 15:00
29/08/2020,2,Strasbourg,Nice,0.44,0.56,0.36,0.64,0.38,0.62,12,11,1,1,3,1,441,573,75,64,0.82,0.86,0.67,0.71,18,10,0.11,0.2,0,2,6,3,0,2,0,0,3,0,3,3,0,0.67,10,19,0.6,0.58,8,11,14,11,2,6,0,0,Jérôme Brisard, 21:00
13/09/2020,3,Angers,Reims,0.58,0.42,0.46,0.54,0.47,0.53,6,14,2,0,1,2,544,401,52,57,0.88,0.81,0.78,0.61,17,11,0.18,0.09,1,0,20,7,7,2,3,0,12,3,8,4,0.35,0.29,8,15,0.5,0.4,13,18,12,12,2,2,1,1,Benoît Bastien, 15:00
11/09/2020,3,Bordeaux,Lyon,0.45,0.55,0.47,0.53,0.62,0.38,14,14,0,0,4,5,369,456,51,60,0.78,0.82,0.63,0.72,19,22,0.1,0.32,0,0,5,20,0,3,1,6,3,11,2,9,0,0.15,11,23,0.55,0.78,23,17,12,19,2,3,0,0,Ruddy Buquet, 21:00
13/09/2020,3,Dijon Fco,Brest,0.5,0.5,0.42,0.58,0.41,0.59,9,14,1,2,5,7,433,438,43,64,0.84,0.84,0.64,0.74,18,22,0.11,0.41,0,2,7,19,3,5,2,4,4,9,3,10,0.43,0.26,16,24,0.75,0.67,15,19,16,16,2,0,1,0,Bastien Dechepy, 15:00
13/09/2020,3,Lille,Fc Metz,0.62,0.38,0.52,0.48,0.49,0.51,15,19,1,2,8,3,558,336,46,75,0.83,0.74,0.75,0.54,24,18,0.17,0.33,1,0,16,5,6,1,4,1,9,0,7,5,0.38,0.2,22,23,0.41,0.52,12,29,12,14,4,4,0,0,Jérémie Pignard, 13:00
